学号,姓名,性别,学历,毕业学校
2020000029670,84c26fc97ffdae925320a3ec346c7119,男,本科,电子科技大学
2021000029567,9d5eabe1dbc289e339be8e52a8635b1e,女,本科,四川警察学院
2021000029682,3db40cdd7efad65b8a4a02125b02ce9e,男,本科,四川大学
2022000029176,28dccd48f429b4401c317e298cf91fd0,男,本科,成都信息工程学院
2022000029189,821274a582c53b7c175b16611fd4929e,女,硕士研究生,伦敦艺术大学
2022000029203,af785981157abb3c84fb63a00ca915dc,女,本科,西华大学
2022000029206,ec7502ed503235b9d4bdb8a0d9068266,女,本科,四川大学锦城学院
2022000029215,22a0484ead2046c8ce28f72d9c985b84,女,本科,四川师范大学
2022000029236,41785f7de07d5ad4d4cb228a841657c0,女,本科,西南财经大学
2022000029242,0e27a58a9e63d8d2c8238fd3387233ef,女,本科,西安外国语大学
2022000029247,8fc105fa4794f3a2d29f3403185d4f2c,男,本科,东北财经大学
2022000029257,be6770a2fa545ab862e9f3acae082211,男,本科,四川外语学院成都学院
2022000029260,fa7719a20f9593236944cd3b9b8d3dda,女,本科,厦门大学嘉庚学院
2022000029264,559ad92ccadb64fc215156683dbdda3e,男,本科,中国矿业大学
2022000029265,42e418dab20d4191304c6056bdd96f64,男,本科,成都理工大学工程技术学院
2022000029287,71e416722c579b4168b30c681d2df923,女,本科,天津外国语大学
2022000029288,2161e5c3d112c93e7baefb9688fca559,男,硕士研究生,大庆石油学院
2022000029307,95182960657938c9dd911af25bfeef2d,男,本科,西华师范大学
2022000029312,10d3dd0dcbf6b25c29bbde215cd70cbf,女,硕士研究生,英国利兹大学
2022000029316,a99d1c4aad81f0bf6aa163120f4c341a,女,本科,西南科技大学
2022000029368,f48ccb806f0fc792135dc61b0575cc9f,女,本科,西南民族大学
2022000029378,63513b8ae4e460256279b6264ac0e901,女,本科,四川大学
2022000029392,f0ae2819b65e9fdc3a4a8e91190a7444,女,本科,安徽财经大学
2022000029410,9179a87887ad9add73a1651c69ca4d39,女,本科,辽宁大学
2022000029420,23c6691edddd826d70daf6c840f56c35,男,本科,西南科技大学
2022000029424,5f38b00cb970c4e2599e2accb500936a,男,本科,西华大学
2022000029436,fcbd3e0aa81603ea603002b84bfe3baf,男,本科,四川大学
2022000029441,c1f5c3c7e16b4ced6711b5d9f8dfcee1,女,本科,西南财经大学
2022000029456,c7df707c2cf1a5393442e82ebba96a6f,男,本科,西南交通大学
2022000029466,b888671e323300d0f712179277949e12,男,本科,电子科技大学
2022000029473,4e1e3be6be36647d912707b2bab6afd8,女,本科,成都理工大学
2022000029474,de9a42bffccadd15e5acb0aa3a9cf377,女,本科,北京第二外国语学院
2022000029476,f1a47fa81d8f4dfeacd06cd612cc4d05,女,本科,西南交通大学
2022000029479,d90bcd64ae03275a8d1c3fecee504726,女,本科,西南交通大学
2022000029488,de2b05e83ea65962b7f106eaa7791371,女,本科,西南财经大学天府学院
2022000029496,95e367ece29efc84806fa862b62a8606,男,本科,重庆工商大学、图卢兹第一大学
2022000029519,77563ca763e0e02aac485a763df1667a,男,本科,成都信息工程大学
2022000029530,5a032c44622a4cfe35f4705576347f85,女,本科,海南师范大学
2022000029537,3157831ef438464731b0104300b4dee9,男,本科,四川大学
2022000029544,b0274ddef0cd817e0c0feb479079ff78,男,本科,中国民用航空飞行学院
2022000029551,823151e9d7419bc2f8fbb5257edd0cc4,男,本科,南京理工大学泰州科技学院
2022000029552,81ad9caedb6aab639c70cd53ed4a8cf2,女,本科,重庆工商大学
2022000029557,f7b3b4841d5fadf9c976274b3cf7c1e0,女,本科,天津商业大学
2022000029561,1c5dc12ee6c2024632092eb4f5d9b94f,男,本科,海南大学
2022000029571,67ea04f69dd733430f2c473a091dca7f,男,本科,上海大学
2022000029572,9e790b6e12e284ddb7a529f597548290,男,专科,安徽水利水电职业技术学院
2022000029578,8196d4f7529566472bd8eadd6df85ce1,女,硕士研究生,中国科学院大学
2022000029607,878b5169746290a40256cf21637c6f4c,女,硕士研究生,西南石油大学
2022000029628,e9f56548bbb2c9794aa441d4054c0a2a,男,本科,中国民用航空飞行学院
2022000029638,c0de116b65b0bac3845bd49256617d99,女,本科,西南科技大学城市学院
2022000029649,0efa1d4cd06fd1e3d3fdbbc78fac36bf,男,本科,成都信息工程大学
2022000029660,140b7ad6913c6b79ac78610378b54396,女,本科,成都信息工程学院
2022000029668,175115db14a3918660575a84fc39d378,女,专科,成都学院（成都大学）
2022000029673,10ada1809ff1cd5edb4bac02243d9d46,女,本科,西南大学
2022000029682,0903e4eb6834a5c4f0c2ad2178001250,女,本科,西南财经大学天府学院
2022000029710,bf59ac92d0c2608f5da1e1aee4650f9d,男,本科,西南财经大学
